ISIN,SP_Rating,Moody_Rating,Currency,Is_Emerging_Market,Seniority,Callable,Days_to_Settle,Collateral_Type,Coupon_Frequency,Coupon_Type,Industry_Group,Industry_Sector,Industry_SubGroup,Issuer_Name,Ticker,Country_Of_Domicile
4729,10,9,0,0,6,0,3,14,3,1,43,4,76,848,641,4
9830,14,14,0,0,2,1,3,2,0,1,29,8,154,1576,1162,17
13421,16,10,0,0,2,0,3,2,0,1,26,8,38,2015,69,4
11632,14,11,0,0,6,1,3,6,0,1,26,8,296,1861,1341,4
346,0,,0,0,2,1,3,4,0,1,10,0,61,143,118,4
6030,1,15,0,0,2,0,3,4,0,1,8,2,155,1017,749,4
1092,6,6,0,0,2,0,3,4,0,1,4,3,146,332,260,4
2876,0,7,0,0,2,0,3,4,0,1,3,2,3,424,330,1
11737,10,2,0,0,2,0,3,2,0,1,32,4,46,1885,1402,4
11453,12,12,0,0,2,1,3,2,0,1,23,1,64,1816,1347,4
7049,0,15,0,0,2,1,3,4,0,1,2,1,252,1263,931,4
9478,9,4,0,0,2,0,3,4,0,1,45,1,125,1452,1073,5
3610,0,7,0,0,2,0,3,2,0,1,4,3,4,632,492,1
444,0,15,0,0,2,1,3,2,0,1,48,0,87,164,138,4
9505,19,18,0,0,2,1,3,2,0,4,4,3,17,1458,1078,4
3953,13,2,0,0,2,1,3,2,0,1,17,1,213,726,569,5
10172,11,14,0,0,2,1,3,2,0,1,4,3,4,1645,1218,4
1170,16,6,0,0,4,0,3,17,0,1,20,7,29,361,285,4
117,11,12,0,0,2,1,3,2,0,1,24,2,32,62,56,4
8574,14,11,0,0,2,1,3,2,0,1,34,1,50,1379,1025,3
1046,0,7,0,0,2,1,3,4,0,1,42,5,136,308,236,4
5530,6,6,0,0,2,0,3,4,0,1,35,4,231,945,707,4
6842,14,11,0,0,2,1,3,2,0,1,3,2,109,1182,882,20
6007,0,7,0,0,2,1,3,2,0,1,30,2,41,1010,746,1
5446,3,1,0,0,2,1,3,2,0,1,28,3,37,920,689,4
8573,14,11,0,0,2,1,3,2,0,1,34,1,50,1379,1025,3
10853,5,,0,0,2,0,3,2,0,1,23,1,64,1663,1230,4
6687,10,14,0,0,2,1,3,2,0,1,38,9,129,1136,848,4
4433,20,17,0,0,2,0,3,4,0,1,45,1,80,766,598,4
6756,3,11,0,0,2,1,3,4,0,1,48,0,114,1150,854,4
9572,6,6,0,0,2,1,3,4,0,1,35,4,189,1476,1091,4
4651,3,14,0,0,2,1,3,2,0,1,59,3,135,817,630,4
1259,5,3,0,0,4,0,3,14,0,1,12,5,21,386,303,4
11684,6,10,0,0,2,1,3,2,0,1,64,1,181,1875,664,4
5398,3,11,0,0,2,1,3,2,0,1,28,3,37,899,672,4
11673,13,16,0,0,2,1,3,4,0,1,26,8,43,1873,1393,4
5958,1,15,0,0,2,0,3,2,0,1,26,8,221,1000,739,4
4616,2,2,0,0,2,1,3,2,0,1,4,3,4,806,625,4
5430,0,15,0,0,2,1,3,4,0,1,8,2,82,912,682,4
7282,10,2,0,0,2,1,3,2,0,1,48,0,114,1293,956,4
9480,9,4,0,0,2,0,3,4,0,1,45,1,125,1452,1073,5
1164,14,11,0,0,2,1,3,2,0,1,17,1,73,360,284,4
1251,5,3,0,0,4,0,3,14,0,1,12,5,21,383,303,4
3251,9,10,0,0,2,1,3,4,0,1,12,5,21,544,303,4
7804,16,10,0,0,2,1,3,4,0,1,25,1,33,1339,987,4
6514,16,4,0,0,2,0,3,4,0,1,6,5,7,1069,647,4
11583,6,6,0,0,2,0,3,4,0,1,17,1,53,1851,1377,4
10886,10,16,0,0,2,1,3,2,0,1,13,0,105,1675,1241,4
10130,0,15,0,0,2,1,3,4,0,1,20,7,29,1634,142,4
5915,1,15,0,0,2,1,3,2,0,1,26,8,43,996,736,4
6021,10,2,0,0,2,0,3,4,0,1,17,1,213,1013,747,4
1670,16,4,0,0,2,0,3,4,0,1,0,0,5,402,314,4
3255,9,10,0,0,2,1,3,4,0,1,12,5,21,544,303,4
1047,0,7,0,0,2,1,3,4,0,1,42,5,136,308,236,4
4424,0,15,0,0,2,1,3,4,0,1,35,4,187,761,593,4
3854,3,9,0,0,2,1,3,4,0,1,29,8,40,688,527,4
6448,16,10,0,0,2,1,3,4,0,1,4,3,4,1050,776,4
6770,1,15,0,0,2,1,3,2,0,1,48,0,153,1154,302,4
6481,0,15,0,0,2,1,3,2,0,1,48,0,114,1057,783,4
408,16,5,0,0,2,1,3,4,0,1,20,7,29,152,127,4
4496,1,15,0,0,2,1,3,2,0,1,48,0,87,782,610,4
5640,0,1,0,0,0,0,3,0,0,1,0,0,5,978,722,6
6680,16,10,0,0,2,0,3,4,0,1,4,3,4,1050,776,4
6936,14,11,0,0,2,0,3,4,0,1,10,0,229,862,650,4
6754,16,6,0,0,2,0,3,4,0,1,10,0,75,1149,288,4
448,2,18,0,0,4,0,3,3,0,1,29,8,40,165,139,4
6885,9,15,0,0,2,0,3,2,0,1,35,4,180,1207,898,4
245,16,4,0,0,1,0,3,12,0,1,1,0,54,102,88,4
10874,9,15,0,0,2,0,3,4,0,1,2,1,156,1670,1236,4
11033,1,15,0,0,2,0,3,2,0,1,2,1,74,1709,1266,4
11976,16,10,0,0,2,0,3,4,0,1,0,0,5,1777,1320,4
4686,0,15,0,0,2,0,3,2,0,1,20,7,29,825,310,4
10911,16,4,0,0,2,0,3,4,0,1,22,7,30,1685,388,4
13375,16,10,0,0,0,0,3,0,0,1,1,0,12,2008,1483,4
4655,16,6,0,0,2,0,3,4,0,1,20,7,29,820,633,4
7017,6,3,0,0,4,0,3,17,0,1,20,7,29,1260,885,4
6700,16,10,0,0,4,1,3,17,0,1,20,7,29,1141,850,4
10912,16,4,0,0,2,0,3,4,0,1,22,7,30,1685,388,4
3677,6,3,0,0,4,0,3,17,0,1,20,7,29,654,509,4
6449,16,10,0,0,2,1,3,4,0,1,4,3,4,1050,776,4
7733,0,1,0,0,2,0,3,4,0,1,7,4,8,1325,977,4
3365,10,11,0,0,2,0,3,4,0,1,0,0,107,577,446,4
481,16,10,0,0,2,0,3,4,0,1,1,0,12,184,154,4
11860,9,10,0,0,2,0,3,4,0,1,20,7,29,453,348,4
13447,6,6,0,0,4,0,3,24,0,1,20,7,29,2029,348,4
903,6,6,0,0,2,0,3,2,0,1,45,1,125,276,212,4
958,1,4,0,0,2,0,3,4,0,1,20,7,29,287,50,4
960,4,4,0,0,2,0,3,16,0,1,20,7,29,287,50,4
4665,16,6,0,0,2,0,3,4,0,1,20,7,29,820,633,4
961,1,4,0,0,2,0,3,4,0,1,20,7,29,287,50,4
3678,6,3,0,0,4,0,3,17,0,1,20,7,29,654,509,4
202,5,6,0,0,2,0,3,4,0,1,34,1,50,87,79,4
6349,6,17,0,0,4,0,3,17,0,1,20,7,29,1029,509,4
7027,6,3,0,0,4,0,3,17,0,1,20,7,29,1260,885,4
7043,6,5,0,0,4,0,3,17,0,1,20,7,29,1261,509,4
9570,6,6,0,0,2,1,3,4,0,1,35,4,189,1476,1091,4
10913,6,6,0,0,2,0,3,4,0,1,22,7,30,1686,388,4
13423,16,10,0,0,2,0,3,2,0,1,26,8,38,2015,69,4
2875,0,7,0,0,2,0,3,4,0,1,3,2,3,424,330,1
3611,0,7,0,0,2,0,3,2,0,1,4,3,4,632,492,1
1035,16,6,0,0,2,1,3,4,0,1,20,7,29,306,234,4
10854,5,,0,0,2,0,3,2,0,1,23,1,64,1663,1230,4
9573,6,6,0,0,2,1,3,4,0,1,35,4,189,1476,1091,4
5474,6,17,0,0,4,1,3,24,0,1,20,7,29,932,695,4
11683,6,10,0,0,2,1,3,2,0,1,64,1,181,1875,664,4
5959,1,15,0,0,2,0,3,2,0,1,26,8,221,1000,739,4
3252,9,10,0,0,2,1,3,4,0,1,12,5,21,544,303,4
7805,16,10,0,0,2,1,3,4,0,1,25,1,33,1339,987,4
3833,6,5,0,0,4,1,3,24,0,1,20,7,29,680,530,4
5450,3,1,0,0,2,1,3,2,0,1,28,3,37,920,689,4
1671,16,4,0,0,2,0,3,4,0,1,0,0,5,402,314,4
3256,9,10,0,0,2,1,3,4,0,1,12,5,21,544,303,4
7246,17,,0,0,4,0,3,3,0,1,23,1,31,1286,950,4
1186,16,4,0,0,2,0,3,2,0,1,1,0,112,367,290,8
9580,6,6,0,0,2,1,3,4,0,1,35,4,189,1476,1091,4
10134,5,5,0,0,4,1,3,3,3,0,27,4,281,1636,1209,4
11433,11,14,0,0,1,0,3,1,0,1,1,0,102,1808,1339,4
836,6,4,0,0,2,0,3,4,0,1,25,1,33,264,202,4
3164,5,6,0,0,2,0,3,4,0,1,34,1,50,512,400,4
7358,7,5,0,0,2,0,3,2,1,0,10,0,75,1321,942,4
10922,6,6,0,0,2,0,3,4,0,1,15,1,103,1689,1248,4
4445,20,18,0,0,2,0,3,4,0,1,45,1,80,767,598,4
5492,16,10,0,0,2,0,3,2,0,1,7,4,8,936,699,4
5902,0,7,0,0,2,0,3,4,0,1,35,4,180,995,735,4
13090,3,11,0,0,4,1,3,6,0,1,27,4,241,1968,1455,4
9301,6,6,0,0,2,1,3,4,0,1,11,3,18,1410,756,4
9644,9,7,0,0,2,0,3,4,0,1,23,1,64,1500,1109,4
1143,1,4,0,0,2,0,3,4,0,1,35,4,60,353,278,4
3156,2,1,0,0,2,1,3,4,0,1,31,4,45,510,398,4
7797,11,14,0,0,4,1,3,6,0,1,27,4,255,1337,985,4
7798,11,14,0,0,4,1,3,6,0,1,27,4,255,1337,985,4
3785,6,6,0,0,8,0,3,9,0,1,17,1,137,668,520,4
9839,15,,0,0,2,1,3,4,0,3,42,5,92,1582,1168,4
13450,6,6,0,0,4,0,3,24,0,1,20,7,29,2029,348,4
7066,0,7,0,0,2,0,3,4,0,1,7,4,8,1267,934,4
3674,11,12,0,0,4,1,3,6,0,1,45,1,125,653,508,4
3880,4,18,0,0,6,1,3,6,0,4,5,4,52,698,544,4
3027,2,4,0,0,2,0,3,4,0,1,35,4,172,459,352,4
234,11,14,0,0,6,1,3,6,0,1,5,4,52,98,86,4
1971,5,5,0,0,2,1,3,4,0,1,0,0,161,407,318,4
5489,16,10,0,0,2,0,3,2,0,1,7,4,8,936,699,4
11074,14,11,0,0,6,1,3,6,0,1,6,5,7,1719,1275,4
11461,13,18,0,0,3,1,3,3,0,1,66,4,182,1821,814,4
3654,9,18,0,0,2,0,3,4,0,1,64,1,167,645,501,4
722,15,13,0,0,2,1,3,4,1,2,4,3,4,238,184,4
225,12,18,0,0,2,1,3,2,0,1,35,4,51,94,83,4
6543,9,4,0,0,2,1,3,4,0,1,41,8,101,1081,803,4
2991,1,15,0,0,2,0,3,4,0,1,19,5,26,451,346,4
3857,13,14,0,0,6,1,3,6,0,1,17,1,213,689,537,4
2966,9,15,0,0,2,0,3,4,0,1,64,1,167,442,341,4
11192,13,16,0,0,4,1,3,6,0,1,11,3,15,1766,1312,4
8570,10,2,0,0,2,0,3,4,0,1,19,5,133,1376,1022,4
11445,11,12,0,0,2,1,3,4,0,1,26,8,296,1810,1341,4
4805,11,14,0,0,4,1,3,6,0,1,23,1,31,876,662,4
281,11,13,0,0,2,1,3,4,0,1,38,9,62,115,98,4
3482,9,15,0,0,2,1,3,4,0,1,36,9,158,602,467,4
7233,4,18,0,0,2,1,3,2,0,1,38,9,62,1281,946,4
10925,6,6,0,0,2,0,3,4,0,1,15,1,103,1689,1248,4
7234,4,18,0,0,2,1,3,2,0,1,38,9,62,1281,946,4
9565,3,18,0,0,2,1,3,2,0,1,64,1,268,1475,1090,4
10179,3,2,0,0,2,1,3,4,0,1,41,8,283,1648,1221,4
6776,3,18,0,0,2,1,3,2,0,1,16,5,23,1156,859,4
3038,4,18,0,0,2,1,3,2,0,1,64,1,167,466,358,4
4562,16,6,0,0,4,1,3,17,0,1,20,7,29,793,310,4
4388,2,9,0,0,2,1,3,2,0,1,18,5,220,748,582,4
9734,0,2,0,0,2,1,3,2,0,1,10,0,49,1537,1132,4
367,1,15,0,0,2,1,3,4,0,1,8,2,9,148,123,4
11870,13,14,0,0,2,1,3,2,0,1,26,8,43,1913,1418,4
3347,3,9,0,0,6,1,3,6,0,1,23,1,31,574,443,4
6544,9,4,0,0,2,1,3,4,0,1,41,8,101,1081,803,4
9383,13,14,0,0,6,1,3,6,0,1,60,5,179,1422,1052,4
6329,1,,0,0,2,1,3,4,0,1,10,0,65,1023,754,4
11092,14,2,0,0,2,1,3,2,0,1,10,0,229,1725,1280,4
12339,16,10,0,0,2,0,3,4,0,1,0,0,5,1777,1320,4
3165,5,6,0,0,2,0,3,4,0,1,34,1,50,512,400,4
9857,17,17,0,0,2,0,3,4,0,1,49,9,88,1585,1171,4
3652,2,2,0,0,2,1,3,2,0,5,17,1,53,644,500,4
6888,1,4,0,0,2,0,3,2,0,1,12,5,140,1208,896,4
7752,14,11,0,0,2,1,3,2,0,1,28,3,37,1327,978,4
8613,9,4,0,0,2,1,3,4,0,1,48,0,200,1392,1035,4
6880,16,10,0,0,2,1,3,4,0,1,48,0,185,1205,897,4
3653,2,2,0,0,2,1,3,2,0,1,17,1,53,644,500,4
11514,10,11,0,0,2,1,3,2,0,1,64,1,167,1830,1360,17
3831,6,5,0,0,4,1,3,24,0,1,20,7,29,680,530,4
9783,12,13,0,0,6,1,3,6,0,1,10,0,14,1561,1152,4
9832,14,14,0,0,2,1,3,2,0,1,29,8,154,1576,1162,17
9302,6,6,0,0,2,1,3,4,0,1,11,3,18,1411,756,4
3786,6,6,0,0,8,0,3,9,0,1,17,1,137,668,520,4
11842,3,2,0,0,2,1,3,4,0,1,38,9,62,1904,1413,4
11041,1,15,0,0,2,1,3,4,0,1,2,1,74,1709,1266,4
6580,11,12,0,0,2,1,3,4,0,1,27,4,67,1094,813,4
10106,11,12,0,0,2,1,3,2,0,1,17,1,279,1626,1200,4
449,12,13,0,0,2,1,3,4,0,1,1,0,44,166,71,4
3372,10,11,0,0,2,0,3,4,0,1,0,0,107,577,446,4
9860,17,17,0,0,2,0,3,4,0,1,49,9,88,1585,1171,4
3187,16,6,0,0,2,1,3,4,0,1,38,9,62,520,406,4
6545,9,4,0,0,2,1,3,4,0,1,41,8,101,1081,803,4
3440,9,4,0,0,2,1,3,4,0,1,12,5,21,592,460,4
2970,16,4,0,0,2,1,3,4,0,1,35,4,171,443,342,4
5494,16,10,0,0,2,0,3,2,0,1,7,4,8,936,699,4
6482,0,1,0,0,2,1,3,2,0,1,28,3,37,1058,784,4
4372,1,,0,0,0,1,3,0,0,1,0,0,161,742,577,4
10109,1,7,0,0,2,1,3,4,0,1,10,0,65,1628,1203,4
1680,16,4,0,0,2,0,3,4,0,1,0,0,5,402,314,4
303,9,10,0,0,2,0,3,4,0,1,10,0,65,120,103,4
7059,0,7,0,0,2,0,3,4,0,1,7,4,8,1267,934,4
6980,6,10,0,0,0,0,3,0,0,7,0,0,160,1239,649,4
9382,9,18,0,0,2,0,3,4,0,1,26,8,36,1421,1051,4
3208,2,9,0,0,2,0,3,4,0,1,67,4,188,533,417,4
9846,17,17,0,0,2,0,3,4,0,1,49,9,88,1585,1171,4
2953,9,15,0,0,2,0,3,4,0,1,64,1,167,441,341,4
4600,0,15,0,0,2,0,3,4,0,1,2,1,156,805,624,4
6884,16,10,0,0,2,0,3,4,0,1,48,0,185,1205,897,4
3879,0,15,0,0,1,1,3,12,1,2,0,0,160,697,311,4
2954,9,15,0,0,2,0,3,4,0,1,64,1,167,441,341,4
2891,4,18,0,0,2,0,3,4,0,1,64,1,166,430,333,4
4815,1,15,0,0,2,0,3,4,0,1,26,8,43,880,665,4
5533,6,6,0,0,2,0,3,4,0,1,35,4,231,945,707,4
417,12,18,0,0,2,0,3,4,0,1,35,4,83,159,133,4
1094,6,6,0,0,2,0,3,4,0,1,4,3,146,332,260,4
6569,0,7,0,0,2,0,3,2,0,1,28,3,37,1090,594,4
3886,9,18,0,0,2,0,3,2,0,1,29,8,40,702,155,4
11553,16,4,0,0,2,0,3,4,0,1,1,0,44,1842,1369,4
5988,9,15,0,0,2,0,3,4,0,1,20,7,29,1009,635,4
3586,6,6,0,0,2,0,3,4,0,1,12,5,21,628,490,1
3188,16,6,0,0,2,1,3,4,0,1,38,9,62,520,406,4
2971,16,4,0,0,2,1,3,4,0,1,35,4,171,443,342,4
1032,16,6,0,0,2,0,3,4,0,1,20,7,29,306,234,4
10923,6,6,0,0,2,0,3,4,0,1,15,1,103,1689,1248,4
659,6,6,0,0,4,0,3,6,0,1,20,7,29,206,172,4
4478,6,10,0,0,2,0,3,4,0,1,28,3,37,777,606,4
11775,1,15,0,0,1,1,3,1,0,1,1,0,12,1890,973,4
9496,0,7,0,0,2,0,3,2,0,1,2,1,156,1453,1074,4
5996,9,15,0,0,2,1,3,4,0,1,20,7,29,1009,635,4
3166,5,6,0,0,2,0,3,4,0,1,34,1,50,512,400,4
6889,1,4,0,0,2,0,3,2,0,1,12,5,140,1208,896,4
3832,6,5,0,0,4,1,3,24,0,1,20,7,29,680,530,4
9303,6,6,0,0,2,1,3,4,0,1,11,3,18,1410,756,4
11042,1,15,0,0,2,1,3,4,0,1,2,1,74,1709,1266,4
2998,9,15,0,0,2,0,3,4,0,1,1,0,54,452,347,4
11183,1,15,0,0,2,0,3,2,0,1,1,0,294,1761,1307,4
2972,16,4,0,0,2,1,3,4,0,1,35,4,171,443,342,4
3518,17,3,0,0,8,0,3,9,0,1,17,1,177,615,479,4
3439,9,4,0,0,2,1,3,4,0,1,12,5,21,592,460,4
6720,0,15,0,0,1,1,3,2,0,0,28,3,37,1146,851,4
3267,9,10,0,0,2,0,3,4,0,1,12,5,21,544,303,4
3161,5,6,0,0,2,0,3,4,0,1,34,1,50,512,400,4
4475,4,18,0,0,0,0,3,0,0,4,0,0,120,776,605,4
3048,4,18,0,0,3,1,3,3,0,4,4,3,4,471,363,4
751,13,16,0,0,2,0,3,2,0,1,10,0,108,246,189,4
10979,20,,0,,,0,0,,0,9,70,6,205,1693,1251,4
3155,2,1,0,0,2,1,3,2,0,1,31,4,45,510,398,4
4407,3,2,0,0,6,0,3,6,0,1,29,8,100,752,586,4
1165,14,11,0,0,2,1,3,2,1,2,17,1,73,360,284,4
3968,16,6,0,0,2,0,3,2,0,1,72,4,218,733,573,4
11552,0,7,0,0,2,0,3,4,0,1,35,4,298,1841,1368,8
1497,16,4,0,0,2,0,3,4,0,1,0,0,5,402,314,4
3700,2,1,0,0,2,0,3,2,0,1,21,5,28,661,449,4
5937,6,6,0,0,2,0,3,4,0,1,26,8,38,998,738,4
13070,1,7,0,0,2,0,3,4,0,1,4,3,146,1959,1448,4
5447,3,1,0,0,2,1,3,2,0,1,28,3,37,920,689,4
10968,0,7,0,0,2,0,3,2,0,1,28,3,37,1090,594,4
13175,6,6,0,0,2,0,3,4,0,1,11,3,15,2001,1479,4
491,2,11,0,0,2,0,3,2,0,1,10,0,97,187,156,4
3881,11,14,0,0,4,1,3,6,0,1,35,4,184,699,545,4
1962,6,6,0,0,7,0,3,10,0,1,0,0,161,406,318,4
166,9,4,0,0,2,0,3,4,0,1,29,8,40,75,66,4
12067,16,10,0,0,2,0,3,4,3,0,0,0,5,1777,1320,4
11147,3,9,0,0,2,1,3,2,0,1,32,4,46,1752,1301,4
6817,10,2,0,0,2,1,3,2,0,1,11,3,18,1174,874,4
6641,4,18,0,0,2,1,3,4,0,4,20,7,29,1123,839,4
4666,16,6,0,0,2,0,3,4,0,1,20,7,29,820,633,4
118,10,16,0,0,6,1,3,6,0,1,24,2,32,62,56,4
8589,18,20,0,0,2,1,3,2,0,1,35,4,187,1387,1031,4
10989,3,9,0,0,2,1,3,2,0,1,4,3,4,1698,1256,4
11712,14,16,0,0,2,1,3,2,0,1,30,2,41,1881,1399,1
11513,1,,0,0,2,0,3,4,0,1,47,0,84,1829,1359,4
10101,11,18,0,0,2,1,3,4,0,1,17,1,279,1624,1200,4
10969,0,7,0,0,2,1,3,2,0,1,28,3,37,1090,594,4
6002,9,15,0,0,2,1,3,4,0,1,20,7,29,1009,635,4
6688,11,12,0,0,2,1,3,2,0,1,26,8,234,1137,849,4
179,13,2,0,0,6,1,3,6,0,1,17,1,24,78,70,4
5471,1,10,0,0,2,1,3,4,0,1,20,7,29,930,695,4
1168,16,6,0,0,4,0,3,17,0,1,20,7,29,361,285,4
6976,0,7,0,0,2,1,3,4,0,1,0,0,120,1236,910,4
8607,13,12,0,0,4,1,3,6,0,1,29,8,100,1391,1034,4
8608,13,,0,0,4,1,3,6,0,1,29,8,100,1391,1034,4
121,9,4,0,0,2,0,3,2,0,1,13,0,19,63,57,4
7789,16,10,0,0,2,0,3,4,0,1,20,7,29,1334,127,4
11009,10,2,0,0,2,1,3,2,0,1,6,5,7,1703,1261,4
3479,9,15,0,0,2,0,3,4,0,1,36,9,158,602,467,4
3778,6,6,0,0,2,0,3,4,0,1,62,5,147,667,519,4
2214,16,6,0,0,2,0,3,4,0,1,0,0,0,20,19,8
11135,13,12,0,0,2,1,3,2,0,1,4,3,4,1748,1298,4
126,13,14,0,0,7,1,3,2,0,1,27,4,35,66,60,4
6642,4,18,0,0,6,1,3,6,0,4,20,7,29,1123,839,4
929,3,2,0,0,2,1,3,2,0,1,4,3,4,281,215,4
180,12,12,0,0,2,1,3,2,0,1,17,1,24,78,70,4
9526,9,15,0,0,2,0,3,4,0,1,49,9,128,1461,731,4
3516,10,14,0,0,2,1,3,2,0,1,11,3,18,614,478,4
11921,10,16,0,0,2,1,3,2,0,1,77,4,305,1929,1428,4
6638,4,18,0,0,6,1,3,6,0,4,20,7,29,1123,839,4
4687,0,15,0,0,2,1,3,2,0,1,20,7,29,826,310,4
9508,6,5,0,0,2,0,3,4,0,1,2,1,2,1459,1079,4
1427,16,4,0,0,2,0,3,4,1,0,0,0,5,402,314,4
4802,13,2,0,0,2,1,3,4,0,1,18,5,207,875,661,4
