ISIN,SP_Rating,Moody_Rating,Currency,Is_Emerging_Market,Seniority,Callable,Days_to_Settle,Issue_Date,Collateral_Type,Coupon_Frequency,Coupon_Type,Maturity_Date,Industry_Group,Industry_Sector,Industry_SubGroup,Issuer_Name,Ticker,Country_Of_Domicile,Risk_Stripe
80,10,9,0,0,2,0,3,2014,4,0,1,2019,17,1,24,49,44,4,9
81,10,9,0,0,2,0,3,2014,4,0,1,2020,17,1,24,49,44,4,9
82,12,13,0,0,2,1,3,2013,2,0,1,2020,18,5,25,50,45,4,0
83,13,14,0,0,2,1,3,2011,4,0,1,2019,19,5,26,51,46,4,0
84,14,11,0,0,6,0,3,2000,6,1,1,2019,20,7,27,52,47,4,0
85,14,11,0,0,6,0,3,2000,6,1,1,2029,20,7,27,52,47,4,0
86,6,10,0,0,2,0,3,2009,4,0,1,1939,1,0,1,53,48,4,3
87,6,10,0,0,2,0,3,2010,4,0,1,1940,1,0,1,53,48,4,3
88,6,10,0,0,2,0,3,2012,4,0,1,2017,1,0,1,53,48,4,3
89,6,10,0,0,2,0,3,2012,4,0,1,2022,1,0,1,53,48,4,3
90,6,10,0,0,2,0,3,2013,4,0,1,2023,1,0,1,53,48,4,3
91,6,10,0,0,2,0,3,2015,4,0,1,2020,1,0,1,53,48,4,3
92,6,10,0,0,2,0,3,2015,4,0,1,2025,1,0,1,53,48,4,3
93,0,7,0,0,2,1,3,2012,4,0,1,2021,21,5,28,54,49,4,0
94,1,4,0,0,2,0,3,2003,4,0,1,1933,20,7,29,55,50,4,5
96,9,4,0,0,2,0,3,2009,2,0,1,2019,22,7,30,56,51,4,5
97,9,4,0,0,2,1,3,2011,2,0,1,1941,22,7,30,56,51,4,5
98,9,4,0,0,2,1,3,2011,2,0,1,2021,22,7,30,56,51,4,5
99,9,4,0,0,2,1,3,2013,2,0,1,1943,22,7,30,56,51,4,5
100,5,,0,0,8,0,3,2015,9,0,1,1945,23,1,31,57,52,4,0
101,10,2,0,0,2,0,3,2008,4,0,1,2017,20,7,29,58,53,4,10
102,10,2,0,0,2,0,3,2009,4,0,1,2020,20,7,29,58,53,4,10
103,10,2,0,0,2,1,3,2012,4,0,1,2021,20,7,29,58,53,4,10
104,10,2,0,0,2,1,3,2013,4,0,1,2023,20,7,29,58,53,4,10
105,10,2,0,0,2,1,3,2014,4,0,1,2024,20,7,29,58,53,4,10
106,10,2,0,0,2,1,3,2014,4,1,2,2019,20,7,29,58,53,4,10
107,10,2,0,0,2,1,3,2015,4,0,1,2025,20,7,29,58,53,4,10
108,6,10,0,0,2,0,3,2014,4,0,1,2019,1,0,1,26,23,9,11
109,6,10,0,0,2,0,3,2014,4,0,1,1944,1,0,1,26,23,9,11
110,6,10,0,0,2,1,3,2015,4,0,1,2025,1,0,1,26,23,9,11
111,6,10,0,0,2,0,3,2014,4,0,1,1944,1,0,1,26,23,9,11
112,6,10,0,0,2,1,3,2015,4,0,1,2025,1,0,1,26,23,9,11
113,5,6,0,0,4,0,3,2014,6,0,1,2017,10,0,14,59,54,4,3
114,1,15,0,0,1,0,3,2013,2,0,1,1930,1,0,1,60,54,4,3
115,5,6,0,0,4,0,3,2002,6,0,1,1932,1,0,12,61,55,4,0
116,11,12,0,0,2,1,3,2010,2,0,1,2020,24,2,32,62,56,4,9
117,11,12,0,0,2,1,3,2012,2,0,1,2022,24,2,32,62,56,4,9
118,10,16,0,0,6,1,3,2013,6,0,1,2018,24,2,32,62,56,4,9
119,11,12,0,0,2,1,3,2014,2,0,1,2021,24,2,32,62,56,4,9
120,9,4,0,0,2,0,3,1998,2,0,1,2018,13,0,19,63,57,4,14
121,9,4,0,0,2,0,3,2009,2,0,1,2019,13,0,19,63,57,4,14
122,9,4,0,0,2,0,3,2010,2,0,1,2017,13,0,19,63,57,4,14
123,14,14,0,0,2,1,3,2015,2,0,1,2023,25,1,33,64,58,4,0
124,3,11,0,0,2,1,3,2012,2,0,1,2021,26,8,34,65,59,4,0
125,3,11,0,0,2,1,3,2012,2,0,1,2022,26,8,34,65,59,4,0
126,13,14,0,0,7,1,3,2011,2,0,1,2020,27,4,35,66,60,4,0
127,13,14,0,0,7,1,3,2014,2,0,1,2022,27,4,35,66,60,4,0
128,13,14,0,0,7,1,3,2015,2,0,5,2025,27,4,35,66,60,4,0
129,13,14,0,0,7,1,3,2015,2,0,1,2025,27,4,35,66,60,4,0
130,15,12,0,0,6,1,3,2012,6,0,1,2017,26,8,36,67,61,4,0
131,16,10,0,0,2,0,3,1994,4,0,1,2024,28,3,37,68,62,4,4
132,16,10,0,0,2,0,3,1991,4,0,1,2021,28,3,37,68,62,4,4
133,17,17,0,0,2,0,3,2014,2,0,1,2017,0,0,0,69,63,8,0
134,17,17,0,0,2,0,3,2014,2,0,1,2019,0,0,0,69,63,8,0
135,17,17,0,0,2,0,3,2015,2,0,1,2018,0,0,0,69,63,8,0
136,17,17,0,0,2,0,3,2015,2,0,1,2020,0,0,0,69,63,8,0
137,17,17,0,0,2,0,3,2014,2,0,1,2017,0,0,0,69,63,8,0
138,17,17,0,0,2,0,3,2014,2,0,1,2019,0,0,0,69,63,8,0
139,17,17,0,0,2,0,3,2015,2,0,1,2018,0,0,0,69,63,8,0
141,1,15,0,0,2,0,3,2001,2,0,1,1931,26,8,38,70,64,4,6
142,1,15,0,0,2,0,3,2002,2,0,1,1932,26,8,38,70,64,4,6
143,14,16,0,0,2,1,3,2015,4,0,1,2023,21,5,39,71,65,1,0
144,9,18,0,0,2,0,3,1999,4,0,1,2029,29,8,40,72,66,4,6
145,9,4,0,0,2,0,3,2002,2,0,1,1931,29,8,40,72,66,4,6
146,4,18,0,0,4,0,3,1995,3,0,4,2005,30,2,41,73,67,13,0
147,9,4,0,0,8,0,3,2014,9,0,1,2019,12,5,16,74,68,14,0
148,9,4,0,0,8,1,3,2014,9,0,1,2024,12,5,16,74,68,14,0
149,9,4,0,0,2,0,3,2006,4,0,1,1936,29,8,40,75,66,4,6
150,9,4,0,0,2,0,3,2007,4,0,1,1937,29,8,40,75,66,4,6
151,9,4,0,0,2,0,3,2007,4,,6,2022,29,8,40,75,66,4,6
152,9,4,0,0,2,0,3,2007,4,0,1,1938,29,8,40,75,66,4,6
153,9,4,0,0,2,0,3,2008,4,0,1,2018,29,8,40,75,66,4,6
154,9,4,0,0,2,0,3,2008,4,0,1,2018,29,8,40,75,66,4,6
155,9,4,0,0,2,0,3,2008,4,0,1,1938,29,8,40,75,66,4,6
156,9,4,0,0,2,0,3,2009,4,0,1,2019,29,8,40,75,66,4,6
157,9,4,0,0,2,0,3,2009,4,0,1,1939,29,8,40,75,66,4,6
158,9,4,0,0,2,0,3,2011,4,0,1,2021,29,8,40,75,66,4,6
159,9,4,0,0,2,0,3,2011,4,0,1,2021,29,8,40,75,66,4,6
160,9,4,0,0,2,0,3,2011,4,0,1,1941,29,8,40,75,66,4,6
161,9,4,0,0,2,0,3,2012,4,0,1,2017,29,8,40,75,66,4,6
162,9,4,0,0,2,0,3,2012,4,0,1,2022,29,8,40,75,66,4,6
163,9,4,0,0,2,0,3,2012,4,0,1,2017,29,8,40,75,66,4,6
164,9,4,0,0,2,1,3,2013,4,0,1,1942,29,8,40,75,66,4,6
165,9,4,0,0,2,1,3,2013,4,0,1,1945,29,8,40,75,66,4,6
166,9,4,0,0,2,0,3,2012,4,0,1,2017,29,8,40,75,66,4,6
167,9,4,0,0,2,1,3,2012,4,0,1,2022,29,8,40,75,66,4,6
168,9,4,0,0,2,0,3,2013,4,0,1,2018,29,8,40,75,66,4,6
169,9,4,0,0,2,0,3,2014,4,0,1,2019,29,8,40,75,66,4,6
170,9,4,0,0,2,1,3,2014,4,0,1,2024,29,8,40,75,66,4,6
171,9,4,0,0,2,1,3,2014,4,0,1,1944,29,8,40,75,66,4,6
172,9,4,0,0,2,1,3,2015,4,0,1,2020,29,8,40,75,66,4,6
173,9,4,0,0,2,1,3,2015,4,0,1,2022,29,8,40,75,66,4,6
174,9,4,0,0,2,1,3,2015,4,0,1,2025,29,8,40,75,66,4,6
175,9,4,0,0,2,1,3,2015,4,0,1,1935,29,8,40,75,66,4,6
176,9,4,0,0,2,1,3,2015,4,0,1,1946,29,8,40,75,66,4,6
177,9,18,0,0,2,0,3,2001,4,0,1,1931,29,8,42,76,66,4,6
178,16,10,0,0,2,0,3,2002,2,0,1,2022,26,8,43,77,69,4,6
179,13,2,0,0,6,1,3,2013,6,0,1,2019,17,1,24,78,70,4,0
180,12,12,0,0,2,1,3,2013,2,0,1,2020,17,1,24,78,70,4,0
181,12,18,0,0,2,1,3,2012,4,0,1,2020,1,0,44,79,71,4,0
182,12,12,0,0,7,1,3,2015,10,0,1,2022,31,4,45,80,72,4,0
183,11,12,0,0,2,1,3,2015,2,0,1,2019,32,4,46,81,73,4,0
185,1,9,0,0,6,1,3,2010,6,0,1,2016,33,5,47,82,74,3,13
187,7,19,0,0,2,0,3,2007,4,0,1,2017,9,6,48,84,76,15,0
188,7,19,0,0,2,0,3,2012,4,0,1,2017,9,6,48,84,76,15,0
189,7,19,0,0,2,0,3,2013,4,0,1,2018,9,6,48,84,76,15,0
190,7,,0,0,2,0,3,2014,4,0,1,2019,9,6,48,84,76,15,0
191,7,19,0,0,8,0,3,2015,9,0,1,2020,9,6,48,84,76,15,0
193,6,6,0,0,2,0,3,2013,2,0,1,2018,0,0,0,86,78,8,3
194,6,6,0,0,2,0,3,2014,2,0,1,2017,0,0,0,86,78,8,3
195,6,6,0,0,2,0,3,2014,2,0,1,2024,0,0,0,86,78,8,3
196,6,6,0,0,2,0,3,2014,2,0,1,2019,0,0,0,86,78,8,3
197,6,6,0,0,2,0,3,2014,2,0,1,2017,0,0,0,86,78,8,3
198,6,6,0,0,2,0,3,2015,2,0,1,2020,0,0,0,86,78,8,3
199,6,6,0,0,2,0,3,2015,2,0,1,2018,0,0,0,86,78,8,3
200,5,6,0,0,2,0,3,2007,4,0,1,1937,34,1,50,87,79,4,2
201,5,6,0,0,2,0,3,2009,4,0,1,2019,34,1,50,87,79,4,2
202,5,6,0,0,2,0,3,2009,4,0,1,1939,34,1,50,87,79,4,2
203,5,6,0,0,2,0,3,2010,4,0,1,2020,34,1,50,87,79,4,2
204,5,6,0,0,2,0,3,2010,4,0,1,1940,34,1,50,87,79,4,2
205,5,6,0,0,2,0,3,2015,4,0,1,2020,34,1,50,87,79,4,2
206,5,6,0,0,2,0,3,2015,4,0,1,2022,34,1,50,87,79,4,2
207,5,6,0,0,2,1,3,2015,4,0,1,2025,34,1,50,87,79,4,2
208,6,4,0,0,2,0,3,2013,4,0,1,2017,34,1,50,88,80,4,2
209,6,4,0,0,2,0,3,2013,4,0,1,2018,34,1,50,88,80,4,2
210,6,4,0,0,2,0,3,2013,4,0,1,2022,34,1,50,88,80,4,2
211,6,4,0,0,2,0,3,2013,4,0,1,1942,34,1,50,88,80,4,2
212,6,4,0,0,2,0,3,2015,4,0,1,2018,34,1,50,88,80,4,2
213,6,4,0,0,2,1,3,2015,4,0,1,2022,34,1,50,88,80,4,2
214,6,4,0,0,2,1,3,2015,4,0,1,2025,34,1,50,88,80,4,2
215,6,4,0,0,2,1,3,2015,4,0,1,1935,34,1,50,88,80,4,2
216,6,4,0,0,2,1,3,2015,4,0,1,1945,34,1,50,88,80,4,2
217,6,4,0,0,2,1,3,2015,4,0,1,2020,34,1,50,88,80,4,2
218,14,16,0,0,2,0,3,2010,2,0,1,2017,14,5,20,89,81,16,0
219,14,16,0,0,2,0,3,2013,2,0,1,2020,14,5,20,89,81,16,0
220,14,16,0,0,2,0,3,2014,2,0,1,2019,14,5,20,90,81,16,0
221,2,11,0,0,2,0,3,2014,2,0,1,2019,20,7,27,91,82,16,0
222,0,7,0,0,0,0,3,1999,0,0,1,2029,0,0,0,92,78,8,3
225,12,18,0,0,2,1,3,2011,2,0,1,2019,35,4,51,94,83,4,12
226,11,14,0,0,2,1,3,2012,2,0,1,2018,23,1,31,95,84,4,0
227,11,14,0,0,2,1,3,2014,2,0,1,2021,23,1,31,96,84,4,0
228,11,14,0,0,2,1,3,2014,2,0,1,2022,23,1,31,96,84,4,0
229,11,14,0,0,2,1,3,2015,2,0,5,2023,23,1,31,96,84,4,0
230,11,14,0,0,2,1,3,2015,2,0,1,2023,23,1,31,96,84,4,0
232,1,15,0,0,2,1,3,2012,4,0,1,2023,28,3,37,97,85,4,4
233,1,15,0,0,2,1,3,2014,4,0,1,2024,28,3,37,97,85,4,4
234,11,14,0,0,6,1,3,2011,6,0,1,2018,5,4,52,98,86,4,9
235,11,14,0,0,4,1,3,2011,6,0,1,2019,17,1,53,99,87,4,0
236,5,10,0,0,2,0,3,1999,2,0,1,2029,1,0,54,100,88,4,3
237,5,10,0,0,2,0,3,2006,2,0,1,1936,1,0,54,101,88,4,3
238,5,10,0,0,2,0,3,2007,2,0,1,2017,1,0,54,100,88,4,3
239,5,10,0,0,2,0,3,2008,2,0,1,2018,1,0,54,100,88,4,3
240,5,10,0,0,2,0,3,2009,2,0,1,2019,1,0,54,100,88,4,3
241,5,10,0,0,2,0,3,2013,2,0,1,2023,1,0,54,100,88,4,3
242,5,10,0,0,2,0,3,2013,2,0,1,1943,1,0,54,100,88,4,3
243,5,10,0,0,2,0,3,2014,2,0,1,2024,1,0,54,100,88,4,3
244,5,10,0,0,2,0,3,2015,2,0,1,2025,1,0,54,100,88,4,3
245,16,4,0,0,1,0,3,2000,12,0,1,1930,1,0,54,102,88,4,3
246,3,16,0,0,2,1,3,2013,2,0,1,2020,36,9,55,103,89,4,0
247,0,7,0,0,2,0,3,2014,2,0,1,2017,34,1,56,104,90,17,2
248,0,7,0,0,2,0,3,2014,2,0,1,2019,34,1,56,104,90,17,2
249,0,7,0,0,2,1,3,2014,2,0,1,2024,34,1,56,104,90,17,2
250,0,7,0,0,2,1,3,2014,2,0,1,1944,34,1,56,104,90,17,2
251,0,7,0,0,2,0,3,2015,2,0,1,2017,34,1,56,104,90,17,2
252,0,7,0,0,2,0,3,2015,2,0,1,2018,34,1,56,104,90,17,2
253,0,7,0,0,2,1,3,2015,2,0,1,2020,34,1,56,104,90,17,2
254,0,7,0,0,2,1,3,2015,2,0,1,2022,34,1,56,104,90,17,2
255,0,7,0,0,2,1,3,2015,2,0,1,2025,34,1,56,104,90,17,2
256,0,7,0,0,2,1,3,2015,2,0,1,1935,34,1,56,104,90,17,2
257,0,7,0,0,2,1,3,2015,2,0,1,1945,34,1,56,104,90,17,2
258,2,9,0,0,2,1,3,2013,2,0,1,2021,36,9,57,105,91,4,8
259,2,9,0,0,2,1,3,2013,2,0,1,2023,36,9,57,105,91,4,8
260,3,9,0,0,2,1,3,2012,2,0,1,2022,6,5,7,106,92,4,0
261,1,15,0,0,2,0,3,2010,2,0,1,2019,37,5,58,107,93,4,0
262,16,4,0,0,2,0,3,2010,4,0,1,2020,36,9,59,108,94,4,6
263,16,4,0,0,2,1,3,2015,4,0,1,2025,36,9,59,108,94,4,6
264,0,15,0,0,2,0,3,2010,2,0,1,2020,35,4,60,109,95,4,0
265,0,15,0,0,2,1,3,2012,2,0,1,2022,35,4,60,109,95,4,0
266,0,15,0,0,2,1,3,2013,2,0,1,2023,35,4,60,110,95,4,0
267,16,10,0,0,2,0,3,2005,2,0,1,2020,1,0,12,111,25,4,3
268,2,,0,0,2,0,3,2012,2,0,1,2017,10,0,61,112,96,5,7
269,10,2,0,0,2,1,3,2014,2,0,1,2022,14,5,20,113,97,4,0
270,10,2,0,0,2,1,3,2014,2,0,1,2024,14,5,20,113,97,4,0
271,2,9,0,0,2,0,3,2014,2,0,1,2017,10,0,61,114,96,3,7
272,2,9,0,0,2,0,3,2015,2,0,1,2017,10,0,61,114,96,3,7
273,2,9,0,0,2,0,3,2014,2,0,1,2019,10,0,61,114,96,3,7
274,2,9,0,0,2,0,3,2015,2,0,1,2019,10,0,61,114,96,3,7
275,2,9,0,0,2,0,3,2014,2,0,1,2021,10,0,61,114,96,3,7
276,2,9,0,0,2,0,3,2015,2,0,1,2021,10,0,61,114,96,3,7
277,2,9,0,0,2,0,3,2014,2,0,5,2021,10,0,61,114,96,3,7
278,2,9,0,0,2,0,3,2015,2,0,1,2021,10,0,61,114,96,3,7
279,2,9,0,0,2,0,3,2015,2,0,1,2020,10,0,61,114,96,3,7
280,2,9,0,0,2,0,3,2015,2,0,1,2022,10,0,61,114,96,3,7
281,11,13,0,0,2,1,3,2011,4,0,1,2020,38,9,62,115,98,4,8
282,11,13,0,0,2,0,3,2013,4,0,1,2022,38,9,62,115,98,4,8
283,11,13,0,0,2,0,3,2014,4,0,1,2019,38,9,62,115,98,4,8
284,11,13,0,0,2,1,3,2014,4,0,1,2024,38,9,62,115,98,4,8
285,4,18,0,0,1,1,3,1997,12,0,1,2026,10,0,63,116,99,4,0
286,6,,0,0,8,0,3,2013,9,0,1,2023,23,1,31,117,100,4,0
287,16,4,0,0,2,0,3,1993,13,0,1,2023,1,0,1,118,101,4,0
288,16,4,0,0,2,0,3,1996,13,0,1,2026,1,0,1,118,101,4,0
289,16,4,0,0,2,0,3,1996,13,0,1,1936,1,0,1,118,101,4,0
290,6,4,0,0,2,1,3,2011,4,0,1,2021,23,1,64,119,102,4,3
291,6,4,0,0,2,1,3,2012,4,0,1,2022,23,1,64,119,102,4,3
292,6,4,0,0,2,0,3,2006,4,0,1,1936,23,1,64,119,102,4,3
293,6,4,0,0,2,0,3,2007,4,0,1,1937,23,1,64,119,102,4,3
294,6,4,0,0,2,0,3,2010,4,0,1,2020,23,1,64,119,102,4,3
295,6,4,0,0,2,1,3,2012,4,0,1,1942,23,1,64,119,102,4,3
296,6,4,0,0,2,1,3,2012,4,0,1,2017,23,1,64,119,102,4,3
297,6,4,0,0,2,1,3,2012,4,0,1,2017,23,1,64,119,102,4,3
298,6,4,0,0,2,1,3,2012,4,0,1,1942,23,1,64,119,102,4,3
299,6,4,0,0,2,1,3,2014,4,0,1,2019,23,1,64,119,102,4,3
300,6,4,0,0,2,1,3,2014,4,0,1,1944,23,1,64,119,102,4,3
301,6,4,0,0,2,1,3,2014,4,0,1,2024,23,1,64,119,102,4,3
302,9,10,0,0,2,0,3,2014,4,0,1,2024,10,0,65,120,103,4,1
303,9,10,0,0,2,0,3,2015,4,0,1,2025,10,0,65,120,103,4,1
304,11,13,0,0,2,1,3,2013,2,0,1,2021,5,4,52,121,104,4,0
305,18,20,0,0,2,1,3,2011,2,0,1,2018,39,8,66,122,105,4,15
306,11,12,0,0,2,1,3,2013,2,0,1,2018,27,4,67,123,106,4,0
307,19,,0,0,6,1,3,2012,6,0,4,2019,4,3,4,124,107,8,0
308,19,,0,0,6,1,3,2013,6,0,4,2020,4,3,4,124,107,8,0
310,18,20,0,0,7,1,3,2013,2,0,1,2018,41,8,69,126,105,4,15
312,9,15,0,0,2,0,3,2007,4,0,1,2017,42,5,70,127,109,4,6
313,9,15,0,0,2,0,3,2010,4,0,1,2020,42,5,70,127,109,4,6
314,9,15,0,0,2,1,3,2012,4,0,1,2022,42,5,70,127,109,4,6
315,9,15,0,0,2,1,3,2013,4,0,1,2023,42,5,70,127,109,4,6
316,16,6,0,0,0,0,3,2009,0,0,1,2019,0,0,71,128,110,4,0
319,13,14,0,0,6,1,3,2011,6,0,1,2018,14,5,72,131,113,17,0
320,13,14,0,0,3,1,3,2015,3,0,1,2023,17,1,73,132,114,4,0
321,1,7,0,0,2,0,3,1999,2,0,1,2029,2,1,74,133,115,4,0
322,1,15,0,0,6,0,3,2001,14,0,7,2020,10,0,75,134,115,4,0
323,1,15,0,0,6,0,3,2001,14,0,7,2025,10,0,75,134,115,4,0
324,3,16,0,0,3,1,3,2013,3,0,1,2020,43,4,76,135,116,1,13
325,3,2,0,0,6,1,3,2013,6,0,1,2019,43,4,76,135,116,1,13
326,13,14,0,0,2,0,3,2014,2,0,1,2021,43,4,76,135,116,1,7
327,1,15,0,0,2,0,3,1997,4,0,1,2017,8,2,77,136,117,1,4
328,1,15,0,0,2,0,3,2006,4,0,1,1936,8,2,77,136,117,1,4
329,1,15,0,0,2,0,3,2008,4,0,1,2019,8,2,77,136,117,1,4
330,1,15,0,0,2,1,3,2010,4,0,1,1941,8,2,77,136,117,1,4
331,1,15,0,0,2,1,3,2012,4,0,1,2022,8,2,77,136,117,1,4
332,1,15,0,0,2,1,3,2013,4,0,1,2023,8,2,77,136,117,1,4
333,1,15,0,0,2,1,3,2013,4,0,1,1943,8,2,77,136,117,1,4
334,1,15,0,0,2,1,3,2014,4,0,1,1945,8,2,77,136,117,1,4
335,1,15,0,0,2,1,3,2015,4,0,1,2025,8,2,77,136,117,1,4
336,1,15,0,0,2,1,3,2015,4,0,1,1935,8,2,77,136,117,1,4
337,6,10,0,0,6,0,3,2013,14,0,1,2025,43,4,76,137,116,1,13
338,0,1,0,0,3,0,3,2013,14,0,1,2021,43,4,76,138,116,1,13
339,10,2,0,0,9,0,3,2013,14,0,1,2018,43,4,76,139,116,1,13
340,6,,0,0,6,0,3,2015,14,0,1,2027,43,4,76,140,116,1,13
341,1,,0,0,3,0,3,2015,14,0,1,2023,43,4,76,141,116,1,13
342,10,,0,0,9,0,3,2015,14,0,1,2020,43,4,76,142,116,1,13
343,0,,0,0,2,0,3,2012,4,0,1,2017,10,0,61,143,118,4,13
344,0,,0,0,2,0,3,2013,4,0,1,2020,10,0,61,143,118,4,13
345,0,,0,0,2,1,3,2013,4,0,1,2019,10,0,61,143,118,4,13
346,0,,0,0,2,1,3,2014,4,0,1,2021,10,0,61,143,118,4,13
347,0,,0,0,2,1,3,2014,4,0,1,2024,10,0,61,143,118,4,13
348,0,,0,0,2,0,3,2014,4,0,1,2018,10,0,61,143,118,4,13
349,0,,0,0,2,1,3,2015,4,0,1,2022,10,0,61,143,118,4,13
350,0,,0,0,2,1,3,2015,4,0,1,2018,10,0,61,143,118,4,13
351,0,,0,0,2,1,3,2014,4,0,1,2024,10,0,61,143,118,4,13
352,12,13,0,0,2,1,3,2015,4,0,1,2023,12,5,78,144,119,4,0
353,6,6,0,0,2,0,3,1991,4,0,1,2021,8,2,9,145,120,4,0
354,6,6,0,0,2,0,3,2009,4,0,1,2019,8,2,9,145,120,4,0
355,6,6,0,0,2,0,3,2011,4,0,1,2021,8,2,9,145,120,4,0
356,6,6,0,0,2,0,3,2012,4,0,1,2017,8,2,9,145,120,4,0
357,6,6,0,0,2,0,3,2013,4,0,1,2023,8,2,9,145,120,4,0
358,6,6,0,0,2,1,3,2014,4,0,1,2024,8,2,9,145,120,4,0
359,4,6,0,0,2,0,3,1996,4,0,1,2026,8,2,9,145,120,4,0
360,6,4,0,,,0,3,2003,,0,1,2022,44,10,79,146,121,,13
361,20,17,0,,,0,3,2007,,3,2,1932,44,10,79,147,122,,13
362,20,3,0,,,0,3,2008,,3,2,1938,44,10,79,147,122,,13
363,1,15,0,0,2,1,3,2012,4,0,1,2022,8,2,9,148,123,4,4
364,1,15,0,0,2,1,3,2013,4,0,1,2018,8,2,9,148,123,4,4
365,1,15,0,0,2,1,3,2013,4,0,1,2020,8,2,9,148,123,4,4
366,1,15,0,0,2,1,3,2014,4,0,1,2024,8,2,9,148,123,4,4
367,1,15,0,0,2,1,3,2015,4,0,1,2020,8,2,9,148,123,4,4
369,10,,0,0,2,1,3,2012,2,0,1,2022,45,1,80,150,125,19,0
370,3,,0,0,8,0,3,2012,9,1,2,2016,10,0,14,151,126,10,0
391,16,5,0,0,2,0,3,2002,4,0,1,2017,20,7,29,152,127,4,5
392,16,5,0,0,2,0,3,2002,4,0,1,2022,20,7,29,152,127,4,5
393,16,5,0,0,2,0,3,2003,4,0,1,1933,20,7,29,152,127,4,5
394,16,5,0,0,2,0,3,2003,4,0,1,1933,20,7,29,152,127,4,5
395,16,5,0,0,2,0,3,2004,4,0,1,2019,20,7,29,152,127,4,5
396,16,5,0,0,2,0,3,2007,4,0,1,2017,20,7,29,152,127,4,5
397,16,5,0,0,2,0,3,2008,4,0,1,1938,20,7,29,152,127,4,5
398,16,5,0,0,2,0,3,2009,4,0,1,1939,20,7,29,152,127,4,5
399,16,5,0,0,2,0,3,2010,4,0,1,2020,20,7,29,152,127,4,5
400,16,5,0,0,2,0,3,2011,4,0,1,1941,20,7,29,152,127,4,5
401,16,5,0,0,2,0,3,2011,4,0,1,2021,20,7,29,152,127,4,5
402,16,5,0,0,2,0,3,2011,4,0,1,1941,20,7,29,152,127,4,5
403,16,5,0,0,2,0,3,2012,4,0,1,1942,20,7,29,152,127,4,5
404,16,5,0,0,2,0,3,2012,4,0,1,1942,20,7,29,152,127,4,5
405,16,5,0,0,2,0,3,2013,4,0,1,2023,20,7,29,152,127,4,5
